Asia/Cambodia,14131858.0,59.723
Asia/China,1318683096.0,72.961
"Asia/Hong Kong, China",6980412.0,82.208
Asia/India,1110396331.0,64.698
Asia/Indonesia,223547000.0,70.65
Asia/Iran,69453570.0,70.964
Asia/Iraq,27499638.0,59.545
Asia/Israel,6426679.0,80.745
Asia/Japan,127467972.0,82.603
Asia/Jordan,6053193.0,72.535
"Asia/Korea, Dem. Rep.",23301725.0,67.297
"Asia/Korea, Rep.",49044790.0,78.623
Asia/Kuwait,2505559.0,77.588
Asia/Lebanon,3921278.0,71.993
Asia/Malaysia,24821286.0,74.241
Asia/Mongolia,2874127.0,66.803
Asia/Myanmar,47761980.0,62.069
Asia/Nepal,28901790.0,63.785
Asia/Oman,3204897.0,75.64
Asia/Pakistan,169270617.0,65.483
Asia/Philippines,91077287.0,71.688
Asia/Saudi Arabia,27601038.0,72.777
Asia/Singapore,4553009.0,79.972
Asia/Sri Lanka,20378239.0,72.396
Asia/Syria,19314747.0,74.143
Asia/Taiwan,23174294.0,78.4
Asia/Thailand,65068149.0,70.616
Asia/Vietnam,85262356.0,74.249
Asia/West Bank and Gaza,4018332.0,73.422
"Asia/Yemen, Rep.",22211743.0,62.698
Europe/Albania,3600523.0,76.423
Europe/Austria,8199783.0,79.829
Europe/Belgium,10392226.0,79.441
Europe/Bosnia and Herzegovina,4552198.0,74.852
Europe/Bulgaria,7322858.0,73.005
Europe/Croatia,4493312.0,75.748
Europe/Czech Republic,10228744.0,76.486
Europe/Denmark,5468120.0,78.332
Europe/Finland,5238460.0,79.313
Europe/France,61083916.0,80.657
Europe/Germany,82400996.0,79.406
Europe/Greece,10706290.0,79.483
Europe/Hungary,9956108.0,73.338
Europe/Iceland,301931.0,81.757
Europe/Ireland,4109086.0,78.885
Europe/Italy,58147733.0,80.546
Europe/Montenegro,684736.0,74.543
Europe/Netherlands,16570613.0,79.762
Europe/Norway,4627926.0,80.196
Europe/Poland,38518241.0,75.563
Europe/Portugal,10642836.0,78.098
Europe/Romania,22276056.0,72.476
Europe/Serbia,10150265.0,74.002
Europe/Slovak Republic,5447502.0,74.663
Europe/Slovenia,2009245.0,77.926
Europe/Spain,40448191.0,80.941
Europe/Sweden,9031088.0,80.884
Europe/Switzerland,7554661.0,81.701
Europe/Turkey,71158647.0,71.777
Europe/United Kingdom,60776238.0,79.425
Oceania/Australia,20434176.0,81.235
Oceania/New Zealand,4115771.0,80.204
